Site Code ,Device,Router Label,IP_Network,Broadcast address,Gateway,Subnetmask,Vlan descrtiption,VLAN ID ,VLANServiceType
GDR4404,GDR-MPBN-NE8000-01,NE8000-M14-RSG-GDR4404-001,10.33.27.34,10.33.27.63,10.33.27.33,255.255.255.224,GDR4404,1131,S1
GDR4404,GDR-MPBN-NE8000-02,NE8000-M14-RSG-GDR4404-002,10.33.27.35,10.33.27.63,10.33.27.33,255.255.255.224,GDR4404,1131,S1
GNA7421,Genina_ATN,Genina_ATN,10.33.13.65,10.33.13.95,,255.255.255.224,GNENA,948,Abis
GNA7421,Genina_ATN,Genina_ATN,10.33.12.65,10.33.12.95,,255.255.255.224,GNENA,949,Abis
GNA7421,Genina_ATN,Genina_ATN,10.33.13.161,10.33.13.191,,255.255.255.224,GNENA,945,Iub
GNA7421,Genina_ATN,Genina_ATN,10.33.29.97,10.33.29.127,,255.255.255.224,GNENA,1143,S1
KOS5711,KST-ATN950,KST-ATN950,10.66.94.1,10.66.94.31,,255.255.255.224,Kosti_OAM,880,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.3.1,10.66.3.31,,255.255.255.224,KOSTI Cluster4_OAM,892,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.23.33,10.66.23.63,,255.255.255.224,KOSTI Cluster2_OAM,882,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.33.1,10.66.33.31,,255.255.255.224,KOSTI Cluster1_OAM,1280,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.17.193,10.66.17.223,,255.255.255.224,Cluster-6_Umrawaba_OAM,865,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.16.33,10.66.16.63,,255.255.255.224,UMRWABA_TNDLT_Cluster_OAM,868,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.22.193,10.66.22.223,,255.255.255.224,DWAIM Cluster1_OAM,889,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.23.225,10.66.23.255,,255.255.255.224,RABAK_Cluster_OAM,888,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.22.65,10.66.22.79,,255.255.255.240,DWAIM_3G_Cluster_2,20,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.0.129,10.66.0.159,,255.255.255.224,OAM_Cluster_0,870,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.1.225,10.66.1.239,,255.255.255.240,N/A,877,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.1.33,10.66.1.63,,255.255.255.224,N/A,871,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.23.97,10.66.23.127,,255.255.255.224,KOSTI Cluster3_OAM,887,OAM
KOS5711,KST-ATN950,KST-ATN950,10.66.33.33,10.66.23.63,,255.255.255.224,Kosti_MUL_Cluster,1282,OAM
